WA Cities,Average BE Score,Type,Total School
Joondalup,81.78125,Primary,32
Joondalup,87.29411765,Combined,17
Geraldton,70.81818182,Combined,11
Geraldton,55.25,Primary,8
Baldivis,67.42857143,Primary,7
Bunbury,64.57142857,Combined,7
Bunbury,75.71428571,Primary,7
Claremont,84,Combined,7
Joondalup,88.85714286,Secondary,7
Byford,76.16666667,Primary,6
Dianella,93.8,Combined,6
Kalgoorlie,74.33333333,Primary,6
Mosman Park,97.4,Combined,6
Armadale,77,Primary,5
Australind,76.4,Primary,5
Canning Vale,71.4,Primary,5
Ellenbrook,88.8,Combined,5
Ellenbrook,86.4,Primary,5
Rockingham,86.25,Combined,5
Thornlie,79.8,Primary,5
Alkimos,88,Combined,4
Baldivis,90,Combined,4
Dianella,89.25,Primary,4
Forrestfield,84.5,Combined,4
Gosnells,75.5,Primary,4
Hamilton Hill,63.75,Combined,4
Kalgoorlie,81.75,Combined,4
Mindarie,89.5,Combined,4
Mount Claremont,73.75,Combined,4
Mount Lawley,97.5,Combined,4
